origin_airport_name,origin_city,origin_state,origin_country,total_flights,avg_departure_delay,avg_arrival_delay,cancellation_rate_pct,diverted_rate_pct
Daytona Beach International Airport,Daytona Beach,FL,USA,1494,5.33,-0.55,0.27,0.27
Cherry Capital Airport,Traverse City,MI,USA,2756,5.32,1.93,3.34,0.15
Montrose Regional Airport,Montrose,CO,USA,1001,5.27,2.54,2.9,0.6
La Crosse Regional Airport,La Crosse,WI,USA,1645,5.15,1.55,3.83,0.06
Brownsville/South Padre Island International Airport,Brownsville,TX,USA,2362,5.05,2.31,4.11,0.3
,,,,486165,4.98,-0.78,0.5,0.17
Spokane International Airport,Spokane,WA,USA,9505,4.96,2.79,0.52,0.17
Minot International Airport,Minot,ND,USA,1850,4.92,2.87,1.46,0.16
Salt Lake City International Airport,Salt Lake City,UT,USA,97210,4.77,0.75,0.41,0.32
Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,3605,4.75,1.54,2.11,0.42
Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,4881,4.54,3.83,3.09,0.2
Bishop International Airport,Flint,MI,USA,4746,4.45,-1.9,2.3,0.17
Juneau International Airport,Juneau,AK,USA,4094,4.34,5.51,1.2,0.34
Sloulin Field International Airport,Williston,ND,USA,2542,4.28,0.85,1.14,1.34
Redmond Municipal Airport (Roberts Field),Redmond,OR,USA,2152,4.09,1.46,1.39,0.14
Flagstaff Pulliam Airport,Flagstaff,AZ,USA,1660,4.09,5.61,3.01,0.0
Laredo International Airport,Laredo,TX,USA,2202,4.08,2.93,2.91,0.5
Manhattan Regional Airport,Manhattan,KS,USA,1634,4.0,2.97,4.16,0.24
Kahului Airport,Kahului,HI,USA,20627,3.6,1.07,0.61,0.12
Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,1845,3.55,0.73,5.53,0.0
St. George Regional Airport,St George,UT,USA,1777,3.54,1.87,0.34,0.06
Valley International Airport,Harlingen,TX,USA,3079,3.45,1.23,1.4,0.49
Fairbanks International Airport,Fairbanks,AK,USA,2183,3.42,0.71,0.46,0.18
Ted Stevens Anchorage International Airport,Anchorage,AK,USA,16005,3.41,-0.38,0.77,0.39
Lake Charles Regional Airport,Lake Charles,LA,USA,1860,2.93,0.97,3.01,0.11
Easterwood Airport,College Station,TX,USA,2311,2.87,2.8,4.72,0.09
Honolulu International Airport,Honolulu,HI,USA,43172,2.7,0.8,0.4,0.12
Tri-Cities Airport,Pasco,WA,USA,2433,2.69,0.6,1.19,0.41
Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,3179,2.6,1.2,1.23,0.57
Ketchikan International Airport,Ketchikan,AK,USA,2319,2.58,3.2,1.21,0.17
Glacier Park International Airport,Kalispell,MT,USA,2025,1.84,-2.35,0.94,0.49
Missoula International Airport,Missoula,MT,USA,2077,1.78,-1.32,0.91,0.24
Billings Logan International Airport,Billings,MT,USA,2866,1.5,-2.31,0.45,0.07
Kona International Airport at Keahole,Kailua/Kona,HI,USA,11114,1.45,-0.24,0.36,0.2
Sitka Rocky Gutierrez Airport,Sitka,AK,USA,1342,1.28,1.95,0.67,0.82
Yuma International Airport,Yuma,AZ,USA,1877,1.23,2.18,1.23,0.0
Natrona County International Airport,Casper,WY,USA,1774,0.99,-4.65,1.63,0.06
Great Falls International Airport,Great Falls,MT,USA,1966,0.97,-0.98,0.71,0.41
Helena Regional Airport,Helena,MT,USA,1435,0.85,-2.31,0.63,0.49
Idaho Falls Regional Airport,Idaho Falls,ID,USA,2247,0.68,-2.7,0.85,0.13
Lihue Airport,Lihue,HI,USA,10545,0.56,-1.01,0.42,0.13
Hilo International Airport,Hilo,HI,USA,5723,-0.86,0.34,0.21,0.05
